,index,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,StateAverage
0,1,10018,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,wl,35233,jeff3rson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical onfection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,empty,empty,al_scip-card-2
1,2,10018,callahan ey3 foundation hospital,1720 university blvd,empty,empty,birmingham,wl,35233,jefferzon,2053258100,acute care hospitals,voluntary non-profit - pr9vate,yes,surgjcal infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,empty,empty,al_scip-inf-1
2,3,10018,callajan eye foundation hospital,1720 university blgd,empty,empty,birmingham,al,35233,jefferspn,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,empty,empty,al_scip-inf-2
3,4,10018,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233,jeffersob,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),empty,empty,al_scip-inf-3
4,5,10018,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,a.,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,ues,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,empty,al_scip-inf-4
5,6,10018,callahan eye foundation hospital,1720 university blvd,empty,empty,"bir,ingham","a,",35233,jeffe4son,2053258100,acute care hospitals,voluntary non-profit - private,yrs,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),empty,empty,al_scip-inf-6
6,7,10018,callahan eye foundation hospital,1720 university blvd,empty,empty,birminfham,ql,35234,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yds,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,empty,empty,al_scip-vte-1
7,8,10018,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,ap,35233,jdfferson,2053258100,acute care hospitals,goluntary non-profit - private,yrs,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,empty,empty,al_scip-vte-2
8,9,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,zheffield,al,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,ges,heart attack,ami-1,heart attack patients given aspirin at arrival,97%,33 patients,al_ami-1
9,10,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,zl,35660,jefferaon,2563864556,acute care hospitals,government - hospital district or authority,yes,heary attack,ami-2,heart attack patients given awpirin at discharge,92%,13 patients,al_ami-2
